dt_sold,yr_sold,mo_sold,yr_built,yr_remodel,bldg_class,bldg_type,house_style,zoning,neighborhd,oa_cond,oa_qual,func,liv_area,1fl_area,2fl_area,tot_rms,bedroom,bathroom,kit,kit_qual,central_air,elect,bsmt_area,bsmt_cond,bsmt_exp,bsmt_fin_qual,bsmt_ht,ext_cond,ext_cover,ext_qual,fdn,fence,fp,fp_qual,gar_area,gar_car,gar_cond,gar_fin,gar_qual,gar_type,gar_yr,heat_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,pave_dr,roof_matl,roof_style,op_area,ep_area,wd_area,sale_price
2010-03-25,2010,3,1976,2005,60,1Fam,2Story,RL,Sawyer,8,6,Typ,1479,725,754,6,3,2.5,1,Good,Y,SBrkr,725,Average,No,GLQ,Average,Average,HdBoard,Good,CBlock,NA,0,NA,475,2,Average,RFn,Average,Attchd,1976,Excellent,Lvl,Gtl,13517,CulDSac,NA,IR1,Y,CompShg,Gable,44,0,0,130.5
2009-04-10,2009,4,1996,1997,60,1Fam,2Story,RL,SawyerW,5,7,Typ,2122,913,1209,8,4,3.5,1,Good,Y,SBrkr,913,Average,No,GLQ,Good,Average,VinylSd,Good,PConc,NA,1,Average,559,2,Average,RFn,Average,Attchd,1997,Excellent,Lvl,Gtl,11492,CulDSac,43,IR1,Y,CompShg,Gable,74,0,0,NA
2010-01-15,2010,1,1953,2007,20,1Fam,1Story,RL,"NAmes",7,5,Typ,1057,1057,0,5,3,2,1,Good,Y,SBrkr,1057,Average,No,GLQ,Average,Good,VinylSd,Average,CBlock,NA,0,NA,246,1,Average,Unf,Average,Detchd,1953,Average,Lvl,Gtl,7922,Inside,68,Reg,Y,CompShg,Gable,52,0,0,109
2010-04-19,2010,4,2006,2007,60,1Fam,2Story,RL,Timber,5,5,Typ,1444,744,700,7,3,2.5,1,Average,Y,SBrkr,384,Average,No,Unf,Good,Average,VinylSd,Average,PConc,NA,0,NA,400,2,Average,Fin,Average,BuiltIn,2007,Good,Lvl,Gtl,9802,Inside,73,Reg,Y,CompShg,Gable,0,0,100,174
2010-03-22,2010,3,1900,1993,50,1Fam,1.5Fin,RL,SawyerW,8,6,Typ,1445,831,614,6,3,2,1,Average,Y,SBrkr,676,Good,No,Unf,Fair,Average,Wd Sdng,Average,PConc,NA,0,NA,484,2,Average,Unf,Average,Detchd,1957,Average,Lvl,Gtl,14235,Inside,82,IR1,N,CompShg,Gable,59,0,0,138.5
2010-06-06,2010,6,1966,2002,20,1Fam,1Story,RL,"NAmes",6,6,Mod,1888,1888,0,6,2,2.5,1,Good,Y,SBrkr,1517,Average,No,ALQ,Average,Average,BrkFace,Good,CBlock,NA,1,Good,578,2,Average,Fin,Average,Attchd,1966,Excellent,Lvl,Gtl,16492,Corner,137,IR1,Y,CompShg,Gable,0,0,0,190
2006-06-14,2006,6,2005,2006,180,TwnhsE,SFoyer,RM,Edwards,5,6,Typ,1072,1072,0,5,2,3,1,Average,Y,SBrkr,547,Average,Gd,GLQ,Good,Average,VinylSd,Average,PConc,NA,0,NA,525,2,Average,Fin,Average,Basment,2005,Good,Lvl,Gtl,3675,Inside,35,Reg,Y,CompShg,Gable,44,0,0,140
2010-05-08,2010,5,1959,1959,20,1Fam,1Story,RL,"NAmes",5,5,Typ,1188,1188,0,6,3,2,1,Average,Y,SBrkr,1188,Average,No,Rec,Average,Average,Plywood,Average,CBlock,MnPrv,0,NA,531,2,Average,RFn,Average,Attchd,1959,Fair,Lvl,Gtl,12160,Inside,NA,IR1,Y,CompShg,Hip,0,0,0,142
2007-06-14,2007,6,1952,1952,20,1Fam,1Story,RL,OldTown,5,5,Typ,924,924,0,6,2,1,1,Average,Y,SBrkr,924,Average,No,Rec,Average,Average,Wd Sdng,Average,CBlock,MnPrv,0,NA,420,1,Average,Unf,Average,Detchd,1952,Average,Lvl,Gtl,15783,Inside,NA,Reg,Y,CompShg,Gable,324,0,0,112.5
2007-09-01,2007,9,1969,1969,60,1Fam,2Story,RL,"NAmes",NA,5,Typ,2080,1040,1040,9,5,2.5,1,Fair,Y,SBrkr,1040,Average,Av,Rec,Good,Average,Plywood,Average,PConc,NA,2,Average,504,2,Average,Unf,Average,Attchd,1969,Average,HLS,Sev,11606,Inside,70,IR1,Y,CompShg,Gable,0,0,335,135
